epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1345.19,0.79147,3.82724,0.33996,0.48875,1.05686,0.84281,0.81447,0.87687,0.4891,0.49507,0.40506,0.31392,0.10132,1.60714,5.59677,0.647,0.97918,2.3597,0.004324,0.004324,0.004324
88,1360.65,0.81648,3.78104,0.33732,0.48145,1.06335,0.84236,0.81168,0.86318,0.51649,0.53229,0.48101,0.42688,0.1169,1.47496,5.36459,0.61782,0.9392,2.21283,0.004258,0.004258,0.004258
89,1375.97,0.81094,3.81059,0.33526,0.49177,1.06737,0.84373,0.79114,0.8731,0.5185,0.60914,0.42414,0.41137,0.12564,1.48234,5.41635,0.69681,0.92782,2.22313,0.004192,0.004192,0.004192
90,1391.21,0.79793,3.8153,0.33507,0.48491,1.05515,0.87686,0.87342,0.92349,0.5332,0.60941,0.53797,0.47065,0.12976,1.48215,5.1029,0.58263,0.84211,2.19867,0.004126,0.004126,0.004126
91,1406.76,0.80787,3.75683,0.3338,0.48041,1.06776,0.79199,0.9398,0.90257,0.53849,0.56816,0.50633,0.41173,0.13025,1.37251,5.20807,0.5805,0.87777,2.08828,0.00406,0.00406,0.00406
92,1422.02,0.80727,3.64729,0.33645,0.48368,1.05904,0.87999,0.88178,0.92458,0.58523,0.57263,0.51899,0.42391,0.11682,1.28801,4.88436,0.47337,0.78876,1.99788,0.003994,0.003994,0.003994
93,1437.24,0.78553,3.74431,0.33577,0.47359,1.06419,0.85477,0.93129,0.939,0.5232,0.55964,0.49367,0.42037,0.11754,1.51613,4.93687,0.53108,0.8399,2.27186,0.003928,0.003928,0.003928
94,1452.4,0.80917,3.68462,0.33482,0.49547,1.08231,0.88053,0.88634,0.92028,0.52669,0.56417,0.46835,0.41603,0.13474,1.4791,5.04496,0.60912,0.87466,2.18349,0.003862,0.003862,0.003862
95,1467.83,0.79913,3.69519,0.33381,0.47714,1.05835,0.87435,0.94304,0.93427,0.58173,0.56296,0.57595,0.49741,0.15375,1.35846,4.71664,0.51503,0.77669,2.05684,0.003796,0.003796,0.003796
96,1483.25,0.7936,3.64968,0.33109,0.47821,1.06702,0.86935,0.84177,0.90065,0.52358,0.54825,0.50695,0.4616,0.13853,1.49364,4.97809,0.60672,0.88475,2.20947,0.00373,0.00373,0.00373
